City_MPG,Curb_Weight,Vehicle_Volume,Num_Cyclinders,Vehicle_Price,Engine_Size
21,2548,528019.904,4,13495,130
21,2548,528019.904,4,16500,130
19,2823,587592.64,6,16500,152
24,2337,634816.956,4,13950,109
18,2824,636734.832,5,17450,136
19,2507,624189.969,5,15250,136
19,2844,766364.046,5,17710,136
19,2954,766364.046,5,18920,136
17,3086,769115.802,5,23875,131
16,3053,629188.56,5,,131
23,2395,622095.552,4,16430,108
23,2395,622095.552,4,16925,108
21,2710,622095.552,6,20970,164
21,2765,622095.552,6,21105,164
20,3055,704276.37,6,24565,164
16,3230,704276.37,6,30760,209
16,3380,706639.374,6,41315,209
15,3505,786358.99,6,36880,209
47,1488,452643.156,3,5151,61
38,1874,515592.48,4,6295,90
38,1909,525183.36,4,6575,90
37,1876,509815.592,4,5572,90
31,1876,509815.592,4,6377,90
24,2128,509815.592,4,7957,98
31,1967,507808.444,4,6229,90
31,1989,507808.444,4,6692,90
31,1989,507808.444,4,7609,90
24,2191,507808.444,4,8558,98
24,2535,674493.768,4,8921,122
19,2811,576454.632,4,12964,156
49,1713,469388.952,4,6479,92
31,1819,469388.952,4,6855,92
38,1837,504960,4,5399,79
30,1940,504960,4,6529,92
30,1956,504960,4,7129,92
30,2010,569939.2,4,7295,92
30,2024,585255.627,4,7295,92
27,2236,582089.3,4,7895,110
27,2289,582089.3,4,9095,110
27,2304,618691.928,4,8845,110
27,2372,593071.25,4,10295,110
24,2465,618691.928,4,12945,110
25,2293,569190.6,4,10345,110
24,2337,564385.41,4,6785,111
38,1874,515592.48,4,,90
38,1909,515592.48,4,,90
24,2734,578430.928,4,11048,119
15,4066,733506.048,6,32250,258
15,4066,733506.048,6,35550,258
13,3950,646926.156,12,36000,326
30,1890,552589.302,4,5195,91
31,1900,552589.302,4,6095,91
31,1905,552589.302,4,6795,91
31,1945,579333.096,4,6695,91
31,1950,579333.096,4,7395,91
17,2380,550723.68,2,10945,70
17,2380,550723.68,2,11845,70
17,2385,550723.68,2,13645,70
16,2500,550723.68,2,15645,80
26,2385,634932.69,4,8845,122
26,2410,656215.35,4,8495,122
26,2385,634932.69,4,10595,122
26,2410,656215.35,4,10245,122
36,2443,656215.35,4,10795,122
26,2425,656215.35,4,11245,122
19,2670,629272,4,18280,140
31,2700,629272,4,18344,134
22,3515,758245.255,5,25552,183
22,3750,787769.849,5,28248,183
22,3495,723650.625,5,28176,183
22,3770,817837.446,5,31600,183
16,3740,820742.73,8,34184,234
16,3685,645726.42,8,35056,234
14,3900,846007.659,8,40960,308
14,3715,794568.96,8,45400,304
19,2910,664789.76,4,16503,140
37,1918,514610.096,4,5389,92
31,1944,514610.096,4,6189,92
31,2004,514610.096,4,6669,92
24,2145,509815.592,4,7689,98
23,2370,558921.48,4,9959,110
25,2328,558921.48,4,8499,122
19,2833,576454.632,4,12629,156
19,2921,576454.632,4,14869,156
19,2926,576454.632,4,14489,156
25,2365,581787.936,4,6989,122
25,2405,581787.936,4,8189,122
23,2403,581787.936,4,9279,110
23,2403,581787.936,4,9279,110
31,1889,574764.63,4,5499,97
45,2017,574764.63,4,7099,103
31,1918,574764.63,4,6649,97
31,1938,574764.63,4,6849,97
31,2024,580943.66,4,7349,97
31,1951,574764.63,4,7299,97
31,2028,563129.424,4,7799,97
31,1971,574764.63,4,7499,97
31,2037,580943.66,4,7999,97
31,2008,552247.696,4,8249,97
27,2324,618420.696,4,8949,120
27,2302,618420.696,4,9549,120
17,3095,665776.055,6,13499,181
17,3296,688677.99,6,14399,181
19,3060,676402.09,6,13499,181
19,3071,576049.341,6,17199,181
17,3139,576049.341,6,19699,181
19,3139,602371.455,6,18399,181
19,3020,724074.876,4,11900,120
28,3197,724074.876,4,13200,152
19,3230,798599.412,4,12440,120
25,3430,798599.412,4,13860,152
19,3075,724074.876,4,15580,120
28,3252,724074.876,4,16900,152
19,3285,771389.892,4,16695,120
25,3485,798599.412,4,17075,152
19,3075,724074.876,4,16630,120
28,3252,724074.876,4,17950,152
18,3130,714090.16,4,18150,134
37,1918,509815.592,4,5572,90
24,2128,509815.592,4,7957,98
31,1967,507808.444,4,6229,90
31,1989,542225.992,4,6692,90
31,2191,542225.992,4,7609,98
24,2535,674493.768,4,8921,122
19,2818,576454.632,4,12764,156
19,2778,579100.674,4,22018,151
17,2756,566490.6,6,32528,194
17,2756,566490.6,6,34028,194
17,2800,566490.6,6,37028,194
17,3366,641507.055,8,,203
23,2579,666250.2,4,9295,132
23,2460,594631.44,4,9895,132
21,2658,696139.29,4,11850,121
21,2695,696139.29,4,12170,121
21,2707,696139.29,4,15040,121
21,2758,696139.29,4,15510,121
19,2808,696139.29,4,18150,121
19,2847,696139.29,4,18620,121
31,2050,534178.602,4,5118,97
26,2120,539279.028,4,7053,108
26,2240,558990.718,4,7603,108
32,2145,590562,4,7126,108
28,2190,590562,4,7775,108
26,2340,590562,4,9960,108
24,2385,610809.84,4,9233,108
24,2510,610809.84,4,11259,108
28,2290,601385.7,4,7463,108
25,2455,601385.7,4,10198,108
23,2420,623303.856,4,8013,108
23,2650,623303.856,4,11694,108
35,1985,550085.94,4,5348,92
31,2040,550085.94,4,6338,92
31,2015,550085.94,4,6488,92
31,2280,637861.572,4,6918,92
27,2290,637861.572,4,7898,92
27,3110,637861.572,4,8778,92
30,2081,567615.16,4,6938,98
30,2109,565473.216,4,7198,98
34,2275,567615.16,4,7898,110
38,2275,565473.216,4,7788,110
38,2094,567615.16,4,7738,98
28,2122,565473.216,4,8358,98
28,2140,565473.216,4,9258,98
29,2169,567911.68,4,8058,98
29,2204,567911.68,4,8238,98
26,2265,567911.68,4,9298,98
26,2300,567911.68,4,9538,98
24,2540,601053.44,4,8449,146
24,2536,601053.44,4,9639,146
24,2551,601053.44,4,9989,146
24,2679,601053.44,4,11199,146
24,2714,601053.44,4,11549,146
24,2975,612612.16,4,17669,146
29,2326,641089.26,4,8948,122
30,2480,641089.26,4,10698,110
27,2414,629411.86,4,9988,122
27,2414,641089.26,4,10898,122
27,2458,629411.86,4,11248,122
20,2976,645993.4,6,16558,171
19,3016,645993.4,6,15998,171
20,3131,675638.67,6,15690,171
19,3151,675638.67,6,15750,161
37,2261,626421.695,4,7775,97
27,2209,626421.695,4,7975,109
37,2264,626421.695,4,7995,97
27,2212,626421.695,4,8195,109
27,2275,626421.695,4,8495,109
37,2319,626421.695,4,9495,97
26,2300,626421.695,4,9995,109
24,2254,568624.536,4,11595,109
24,2221,545086.72,4,9980,109
19,2661,664251.438,5,13295,136
33,2579,664251.438,4,13845,97
25,2563,674941.389,4,12290,109
23,2912,713029.632,4,12940,141
23,3034,729523.2,4,13415,141
24,2935,713029.632,4,15985,141
24,3042,729523.2,4,16515,141
17,3045,713029.632,4,18420,130
17,3157,729523.2,4,18950,130
23,2952,721961.76,4,16845,141
19,3049,720913.92,4,19045,141
18,3012,721961.76,6,21485,173
26,3217,721961.76,6,22470,145
19,3062,721961.76,4,22625,141
